Title,Author,category,age,borrowings_count,borrowings_duration_avg,borrowings_duration_std,unique_readers,copy_count,demand_per_copy,reader_pressure,utilization_score,cluster,pca1,pca2,pca3,decision,dbscan_cluster,dbscan_decision,copy_class,P_high_copy,P_low_copy,k_required
400 EXERCICES CORRIGÉS D'ALGÈBRE AVEC RAPPELS DE COURS POUR SPÉ MP-MP*,"AASSILA, MOHAMMED",0,12.0,1,30.0,0.0,1,1,1.0,1.0,2.5,0,3.3017990295519595,-2.797654351641028,-0.818902397243661,0,0,Cluster_0,High-copy,0.9965811234139542,0.0034188765860457392,1.0
A FIRST COURSE IN PROBABILITY,"ROSS, SHELDON M.",2,12.0,2,15.0,0.0,2,3,0.6666666666666666,0.6666666666666666,0.5555555555555555,0,0.2957620776002498,-0.26886420049285753,-0.5453003461027958,0,1,Cluster_1,High-copy,0.9956266963459666,0.004373303654033479,1.5
ADVANCED CYBERSECURITY TECHNOLOGIES,"MOSELEY,RALPH",3,4.0,2,18.5,4.949747468305833,2,3,0.6666666666666666,0.6666666666666666,0.3454861851709593,1,0.1258404768233222,-2.25518576122167,1.7549771667232865,1,1,Cluster_1,High-copy,0.9956266963459666,0.004373303654033479,1.5
ADVANCED DATA STRUCTURES: THEORY AND APPLICATIONS,"SAHA,SUMAN",1,7.0,1,15.0,0.0,1,3,0.3333333333333333,0.3333333333333333,0.238095238095238,0,-0.5983018104697609,-0.6523830966386021,-0.7967317930752885,0,1,Cluster_1,High-copy,0.9908640404993364,0.009135959500663529,3.0
AGILE STRATEGY MANAGEMENT : TECHNIQUES FOR CONTINUOUS ALIGNMENT AND IMPROVEMENT,"LYNGSO,SOREN",4,12.0,2,15.0,0.0,2,3,0.6666666666666666,0.6666666666666666,0.5555555555555555,0,0.2957620776002498,-0.26886420049285753,-0.5453003461027958,0,1,Cluster_1,High-copy,0.9956266963459666,0.004373303654033479,1.5
ALGEBRE 1 : RAPPELS DE COURS ET EXERCICES AVEC SOLUTIONS,HAMED C BABA,1,10.0,55,16.345454545454544,4.8159387447584905,55,135,0.4074074074074074,0.4074074074074074,0.0466482139708513,1,-0.5263973769838659,-1.4437598824282165,1.8310528526553866,1,1,Cluster_1,High-copy,0.9930081486924883,0.00699185130751156,2.4545454545454546
ALGORITHMIQUE : COURS ET EXERCICES CORRIGÉS,OURBIH LATIFA BAGHDADLI,2,16.0,4,14.0,2.0,4,53,0.0754716981132075,0.0754716981132075,0.0016613266880265,0,-1.1392024078077108,-0.16617636932899088,0.46820511326599856,0,1,Cluster_1,Low-copy,0.4060013844065196,0.5939986155934804,13.250000000000007
ALGORITHMIQUE ET PROGRAMMATION EN JAVA : COURS ET EXERCICES,"GRANET, VINCENT",1,26.0,1,15.0,0.0,1,6,0.1666666666666666,0.1666666666666666,0.016025641025641,0,-0.25915391001639804,0.72560054381312,-0.29626197001097815,0,1,Cluster_1,High-copy,0.960960898748136,0.03903910125186397,6.000000000000003
ALGORITHMIQUE ET STRUCTURES DE DONNÉES STATIQUES : COURS ET EXERCICES AVEC SOLUTIONS,HAMED C BABA,1,11.0,3,15.0,0.0,3,4,0.75,0.75,0.7670454545454546,0,0.43700341472943494,-0.3372599159531812,-0.5479735299289168,0,1,Cluster_1,High-copy,0.9959711686395158,0.004028831360484139,1.3333333333333333
ALGORITHMIQUE MODERNE ANALYSE ET COMPLEXITÉ,ZERKAOUI HABIBA DRIAS,2,9.0,2,15.0,0.0,2,62,0.032258064516129,0.032258064516129,0.0017343045438779,0,-1.1675713258958618,-0.5230361673029235,-0.8340494985129904,0,1,Cluster_1,Low-copy,0.0001056923043910839,0.9998943076956089,31.000000000000036
