N° inventaire,Date de réception,Titre,Auteur,Editeur,Date d'édition,Lieu d'édition,Edition,Mode d'acquisition,Statut,Fournisseur,N° achat,Prix,Cote,Localisation,Observation
2877,,ANALYSE MATHEMATIQUE : EXERCICES CORRIGES,BELAIDI BENHARRAT,,,ALGER,,Achat,Prêt externe,,,,515 BEN/28,ENSIA,
2878,,ANALYSE MATHEMATIQUE : EXERCICES CORRIGES,BELAIDI BENHARRAT,,,ALGER,,Achat,Prêt externe,,,,515 BEN/29,ENSIA,
2879,,ANALYSE MATHEMATIQUE : EXERCICES CORRIGES,BELAIDI BENHARRAT,,,ALGER,,Achat,Prêt externe,,,,515 BEN/30,ENSIA,
288,2021-12-19,Analyse 2 : rappels de cours et exercices avec solutions,Hamed C Baba,OPU,2011.0,ALGER,4ed.,Achat,Prêt externe,opu,2021-11-01 00:00:00,486.24,515 HAM/4,ENSIA,
2880,,ANALYSE MATHEMATIQUE : EXERCICES CORRIGES,BELAIDI BENHARRAT,,,ALGER,,Achat,Prêt externe,,,,515 BEN/31,ENSIA,
2881,,ANALYSE MATHEMATIQUE : EXERCICES CORRIGES,BELAIDI BENHARRAT,,,ALGER,,Achat,Prêt externe,,,,515 BEN/32,ENSIA,
2882,,ANALYSE MATHEMATIQUE : EXERCICES CORRIGES,BELAIDI BENHARRAT,,,ALGER,,Achat,Prêt externe,,,,515 BEN/33,ENSIA,
2883,,ANALYSE MATHEMATIQUE : EXERCICES CORRIGES,BELAIDI BENHARRAT,,,ALGER,,Achat,Prêt externe,,,,515 BEN/34,ENSIA,
2884,,ANALYSE MATHEMATIQUE : EXERCICES CORRIGES,BELAIDI BENHARRAT,,,ALGER,,Achat,Prêt externe,,,,515 BEN/35,ENSIA,
2885,,COURS D'ENTREPRENEURIAT,zella ahlem,OPU,2018.0,alger,,Achat,Prêt externe,,,,658 ZEL/5,ENSIA,
2886,,COURS D'ENTREPRENEURIAT,zella ahlem,OPU,2018.0,alger,,Achat,Prêt externe,,,,658 ZEL/6,ENSIA,
2887,,COURS D'ENTREPRENEURIAT,zella ahlem,OPU,2018.0,alger,,Achat,Prêt externe,,,,658 ZEL/7,ENSIA,
2888,,COURS D'ENTREPRENEURIAT,zella ahlem,OPU,2018.0,alger,,Achat,Prêt externe,,,,658 ZEL/8,ENSIA,
2889,,COURS D'ENTREPRENEURIAT,zella ahlem,OPU,2018.0,alger,,Achat,Prêt externe,,,,658 ZEL/9,ENSIA,
289,2021-11-01,"Statistique : cours et exercices, pour les étudiants du tronc commun Bio-Médical",ADMANE O,Office des Publications Universitaires,2004.0,ALGER,13E ED,Achat,Prêt externe,,,,519.5/ADM/1,ENSIA,
2890,,Eléments de la théorie des probabilités T.1,BOUSSEBOUA MOUSSEDEK,Office des Publications Universitaires,2016.0,ALGER,1E ED,Achat,Prêt externe,,,,519.2 BOU/5/T1,ENSIA,
2891,,Eléments de la théorie des probabilités T.1,BOUSSEBOUA MOUSSEDEK,Office des Publications Universitaires,2016.0,ALGER,1E ED,Achat,Prêt externe,,,,519.2 BOU/6/T1,ENSIA,
2892,,Eléments de la théorie des probabilités T.1,BOUSSEBOUA MOUSSEDEK,Office des Publications Universitaires,2016.0,ALGER,1E ED,Achat,Prêt externe,,,,519.2 BOU/7/T1,ENSIA,
2893,,Eléments de la théorie des probabilités T.1,BOUSSEBOUA MOUSSEDEK,Office des Publications Universitaires,2016.0,ALGER,1E ED,Achat,Prêt externe,,,,519.2 BOU/8/T1,ENSIA,
2894,,Eléments de la théorie des probabilités T.1,BOUSSEBOUA MOUSSEDEK,Office des Publications Universitaires,2016.0,ALGER,1E ED,Achat,Prêt externe,,,,519.2 BOU/9/T1,ENSIA,
2895,,Eléments de la théorie des probabilités T.1,BOUSSEBOUA MOUSSEDEK,Office des Publications Universitaires,2016.0,ALGER,1E ED,Achat,Prêt externe,,,,519.2 BOU/10/T1,ENSIA,
2896,,Eléments de la théorie des probabilités T.1,BOUSSEBOUA MOUSSEDEK,Office des Publications Universitaires,2016.0,ALGER,1E ED,Achat,Prêt externe,,,,519.2 BOU/11/T1,ENSIA,
2897,,Eléments de la théorie des probabilités T.1,BOUSSEBOUA MOUSSEDEK,Office des Publications Universitaires,2016.0,ALGER,1E ED,Achat,Prêt externe,,,,519.2 BOU/12/T1,ENSIA,
2898,,Eléments de la théorie des probabilités T.1,BOUSSEBOUA MOUSSEDEK,Office des Publications Universitaires,2016.0,ALGER,1E ED,Achat,Prêt externe,,,,519.2 BOU/13/T1,ENSIA,
2899,,Eléments de la théorie des probabilités T.1,BOUSSEBOUA MOUSSEDEK,Office des Publications Universitaires,2016.0,ALGER,1E ED,Achat,Prêt externe,,,,519.2 BOU/14/T1,ENSIA,
29,2021-11-01,Comprendre La Micro-Economie cours et exercices,AZAMOUM SAID,Office des Publications Universitaires,2011.0,ALGER,3E ED,Achat,Consultation sur place,opu,2021-11-01 00:00:00,,338.5/AZA/1,ENSIA,
290,2021-11-01,"Statistique : cours et exercices, pour les étudiants du tronc commun Bio-Médical",ADMANE O,Office des Publications Universitaires,2004.0,ALGER,13E ED,Achat,Prêt externe,,,,519.5/ADM/2,ENSIA,
2900,,Statistique paramétrique : cours exercices Q.C.M tables index des formules,GRIM ZOULIKHA,Office des Publications Universitaires,2016.0,ALGER,2E ED,Achat,Prêt externe,,,,519/GRI/9,ENSIA,
2901,,Statistique paramétrique : cours exercices Q.C.M tables index des formules,GRIM ZOULIKHA,Office des Publications Universitaires,2016.0,ALGER,2E ED,Achat,Prêt externe,,,,519/GRI/10,ENSIA,
