N° inventaire,Date de réception,Titre,Auteur,Editeur,Date d'édition,Lieu d'édition,Edition,Mode d'acquisition,Statut,Fournisseur,N° achat,Prix,Cote,Localisation,Observation
2978,,Algorithmique moderne analyse et complexité,zerkaoui Habiba Drias,OPU,2017.0,ALGER,,Achat,Prêt externe,,,,005.1 ZER/13,ENSIA,
2979,,Algorithmique moderne analyse et complexité,zerkaoui Habiba Drias,OPU,2017.0,ALGER,,Achat,Prêt externe,,,,005.1 ZER/14,ENSIA,
298,,Méthodes statistiques : rappels de cours et exercices corrigés,KHALED KHALDI,Office des Publications Universitaires,2017.0,ALGER,,Achat,Prêt externe,,,,510/KHA/6,ENSIA,
2980,,Séries : cours et exercices résolus,Salah. Derradji,OPU,2015.0,alger,,Achat,Prêt externe,,,,515.24/SAL/5,ENSIA,
2981,,Séries : cours et exercices résolus,Salah. Derradji,OPU,2015.0,alger,,Achat,Prêt externe,,,,515.24/SAL/6,ENSIA,
2982,,Séries : cours et exercices résolus,Salah. Derradji,OPU,2015.0,alger,,Achat,Prêt externe,,,,515.24/SAL/7,ENSIA,
2983,,Séries : cours et exercices résolus,Salah. Derradji,OPU,2015.0,alger,,Achat,Prêt externe,,,,515.24/SAL/8,ENSIA,
2984,,Séries : cours et exercices résolus,Salah. Derradji,OPU,2015.0,alger,,Achat,Prêt externe,,,,515.24/SAL/9,ENSIA,
2985,,Séries : cours et exercices résolus,Salah. Derradji,OPU,2015.0,alger,,Achat,Prêt externe,,,,515.24/SAL/10,ENSIA,
2986,,Séries : cours et exercices résolus,Salah. Derradji,OPU,2015.0,alger,,Achat,Prêt externe,,,,515.24/SAL/11,ENSIA,
2987,,Séries : cours et exercices résolus,Salah. Derradji,OPU,2015.0,alger,,Achat,Prêt externe,,,,515.24/SAL/12,ENSIA,
2988,,Séries : cours et exercices résolus,Salah. Derradji,OPU,2015.0,alger,,Achat,Prêt externe,,,,515.24/SAL/13,ENSIA,
2989,,Séries : cours et exercices résolus,Salah. Derradji,OPU,2015.0,alger,,Achat,Prêt externe,,,,515.24/SAL/14,ENSIA,
299,,Méthodes statistiques : rappels de cours et exercices corrigés,KHALED KHALDI,Office des Publications Universitaires,2017.0,ALGER,,Achat,Prêt externe,,,,510/KHA/7,ENSIA,
