Title,Reader_num,category,borrowing_duration,borrowing date,return date
DE MES CAHIERS D’ANALYSE…SUITES NUMERIQUES : COURS DETAILLE ET EXERCICES RESOLUS,3900209,2,10,2023-12-20,2023-12-30
DE MES CAHIERS D’ANALYSE…SUITES NUMERIQUES : COURS DETAILLE ET EXERCICES RESOLUS,8343576,3,7,2023-10-17,2023-10-24
DE MES CAHIERS D’ANALYSE…SUITES NUMERIQUES : COURS DETAILLE ET EXERCICES RESOLUS,7582859,3,7,2024-02-12,2024-02-19
DE MES CAHIERS D’ANALYSE…SUITES NUMERIQUES : COURS DETAILLE ET EXERCICES RESOLUS,3833072,3,7,2023-10-17,2023-10-24
DE MES CAHIERS D’ANALYSE…SUITES NUMERIQUES : COURS DETAILLE ET EXERCICES RESOLUS,5852331,3,7,2023-10-17,2023-10-24
MATHÉMATIQUES T.2 : FONCTIONS DE PLUSIEURS VARIABLES RÉELLES,3884256,3,7,2023-10-17,2023-10-24
"DE MES CAHIERS D’ANALYSE… FONCTIONS RÉELLES D’UNE VARIABLE RÉELLE : LIMITES, CONTINUITÉ ET.. COURS DÉTAILLÉ ET EXERCICES RÉSOLUS",5852331,3,7,2023-10-17,2023-10-24
"FONCTIONS RÉELLES D'UNE VARIABLE RÉELLE : DÉRIVABILITÉ, DÉRIVÉES, DÉVELOPPEMENTS LIMITÉS",3820658,3,7,2023-11-26,2023-12-03
"FONCTIONS RÉELLES D'UNE VARIABLE RÉELLE : DÉRIVABILITÉ, DÉRIVÉES, DÉVELOPPEMENTS LIMITÉS",1244929,3,7,2023-10-17,2023-10-24
"FONCTIONS RÉELLES D'UNE VARIABLE RÉELLE : DÉRIVABILITÉ, DÉRIVÉES, DÉVELOPPEMENTS LIMITÉS",1308365,3,7,2023-10-17,2023-10-24
"DE MES CAHIERS D’ANALYSE.. INTÉGRALE DE RIEMANN, CALCUL DE PRIMITIVES, INTÉGRALES IMPROPRES, COURS DÉTAILLÉ ET EXERCICES RÉSOLUS",3932445,3,7,2023-10-17,2023-10-24
"DE MES CAHIERS D’ANALYSE.. INTÉGRALE DE RIEMANN, CALCUL DE PRIMITIVES, INTÉGRALES IMPROPRES, COURS DÉTAILLÉ ET EXERCICES RÉSOLUS",1244929,3,7,2023-10-17,2023-10-24
DE MES CAHIERS D’ANALYSE… ÉQUATIONS DIFFÉRENTIELLES ORDINAIRES DU PREMIER ET SECOND ORDRE : ASSISE THÉORIQUE ET APPLICATIONS COURS DÉTAILLÉ ET EXERCICES RÉSOLUS,11670901,3,7,2023-11-26,2023-12-03
"FONCTIONS DE PLUSIEURS VARIABLES RELLES : IMITES,CONTINUITE,DIFFERENTIABILITÉ ET.... COURS DÉTAILLÉ ET EXERCICES RÉSOLUS",3937577,2,15,2024-10-30,2024-11-14
"FONCTIONS DE PLUSIEURS VARIABLES RELLES : IMITES,CONTINUITE,DIFFERENTIABILITÉ ET.... COURS DÉTAILLÉ ET EXERCICES RÉSOLUS",3833483,3,17,2024-10-24,2024-11-10
"FONCTIONS DE PLUSIEURS VARIABLES RELLES : IMITES,CONTINUITE,DIFFERENTIABILITÉ ET.... COURS DÉTAILLÉ ET EXERCICES RÉSOLUS",1322891,2,15,2024-10-01,2024-10-16
"FONCTIONS DE PLUSIEURS VARIABLES RELLES : IMITES,CONTINUITE,DIFFERENTIABILITÉ ET.... COURS DÉTAILLÉ ET EXERCICES RÉSOLUS",3828193,2,15,2024-10-08,2024-10-23
"FONCTIONS DE PLUSIEURS VARIABLES RELLES : IMITES,CONTINUITE,DIFFERENTIABILITÉ ET.... COURS DÉTAILLÉ ET EXERCICES RÉSOLUS",3823155,2,17,2024-10-10,2024-10-27
"FONCTIONS DE PLUSIEURS VARIABLES RELLES : IMITES,CONTINUITE,DIFFERENTIABILITÉ ET.... COURS DÉTAILLÉ ET EXERCICES RÉSOLUS",3833072,3,7,2023-10-17,2023-10-24
"FONCTIONS DE PLUSIEURS VARIABLES RELLES : IMITES,CONTINUITE,DIFFERENTIABILITÉ ET.... COURS DÉTAILLÉ ET EXERCICES RÉSOLUS",3844029,2,15,2024-10-30,2024-11-14
"FONCTIONS DE PLUSIEURS VARIABLES RELLES : IMITES,CONTINUITE,DIFFERENTIABILITÉ ET.... COURS DÉTAILLÉ ET EXERCICES RÉSOLUS",3779239,2,15,2024-10-22,2024-11-06
"FONCTIONS DE PLUSIEURS VARIABLES RELLES : IMITES,CONTINUITE,DIFFERENTIABILITÉ ET.... COURS DÉTAILLÉ ET EXERCICES RÉSOLUS",3786545,4,11,2023-10-17,2023-10-28
ALGEBRE 1 : RAPPELS DE COURS ET EXERCICES AVEC SOLUTIONS,5803036,1,15,2024-10-09,2024-10-24
ALGEBRE 1 : RAPPELS DE COURS ET EXERCICES AVEC SOLUTIONS,4712505,1,17,2024-10-17,2024-11-03
ALGEBRE 1 : RAPPELS DE COURS ET EXERCICES AVEC SOLUTIONS,6487960,1,15,2024-10-29,2024-11-13
ALGEBRE 1 : RAPPELS DE COURS ET EXERCICES AVEC SOLUTIONS,4766304,1,15,2024-09-30,2024-10-15
ANALYSE 2 : RAPPELS DE COURS ET EXERCICES AVEC SOLUTIONS,3900804,2,15,2024-10-06,2024-10-21
PROBABILITES : RAPPELS DE COURS ET EXERCICES CORRIGES,10169209,2,15,2024-10-27,2024-11-11
PROBABILITES : RAPPELS DE COURS ET EXERCICES CORRIGES,4042198,2,15,2024-10-14,2024-10-29
PROBABILITES : RAPPELS DE COURS ET EXERCICES CORRIGES,3788291,2,15,2024-10-08,2024-10-23
PROBABILITES : RAPPELS DE COURS ET EXERCICES CORRIGES,11904505,2,15,2024-10-30,2024-11-14
PROBABILITES : RAPPELS DE COURS ET EXERCICES CORRIGES,3843354,2,15,2024-10-14,2024-10-29
PROBABILITES : RAPPELS DE COURS ET EXERCICES CORRIGES,3892332,3,15,2024-10-06,2024-10-21
PROBABILITES : RAPPELS DE COURS ET EXERCICES CORRIGES,1321034,2,15,2024-09-29,2024-10-14
