Title,Reader_num,category,borrowing_duration,borrowing date,return date
"FONCTIONS DE PLUSIEURS VARIABLES RELLES : IMITES,CONTINUITE,DIFFERENTIABILITÉ ET.... COURS DÉTAILLÉ ET EXERCICES RÉSOLUS",1497743,2,15,2024-10-15,2024-10-30
"FONCTIONS DE PLUSIEURS VARIABLES RELLES : IMITES,CONTINUITE,DIFFERENTIABILITÉ ET.... COURS DÉTAILLÉ ET EXERCICES RÉSOLUS",1353040,2,15,2024-09-25,2024-10-10
"FONCTIONS DE PLUSIEURS VARIABLES RELLES : IMITES,CONTINUITE,DIFFERENTIABILITÉ ET.... COURS DÉTAILLÉ ET EXERCICES RÉSOLUS",33,0,16,2024-06-27,2024-07-13
"FONCTIONS DE PLUSIEURS VARIABLES RELLES : IMITES,CONTINUITE,DIFFERENTIABILITÉ ET.... COURS DÉTAILLÉ ET EXERCICES RÉSOLUS",3843354,2,15,2024-10-14,2024-10-29
"FONCTIONS DE PLUSIEURS VARIABLES RELLES : IMITES,CONTINUITE,DIFFERENTIABILITÉ ET.... COURS DÉTAILLÉ ET EXERCICES RÉSOLUS",3818108,2,22,2024-10-15,2024-11-06
"FONCTIONS DE PLUSIEURS VARIABLES RELLES : IMITES,CONTINUITE,DIFFERENTIABILITÉ ET.... COURS DÉTAILLÉ ET EXERCICES RÉSOLUS",3846231,2,17,2024-10-31,2024-11-17
"FONCTIONS DE PLUSIEURS VARIABLES RELLES : IMITES,CONTINUITE,DIFFERENTIABILITÉ ET.... COURS DÉTAILLÉ ET EXERCICES RÉSOLUS",3844848,2,17,2024-10-17,2024-11-03
"FONCTIONS DE PLUSIEURS VARIABLES RELLES : IMITES,CONTINUITE,DIFFERENTIABILITÉ ET.... COURS DÉTAILLÉ ET EXERCICES RÉSOLUS",3905925,2,15,2024-10-27,2024-11-11
"FONCTIONS DE PLUSIEURS VARIABLES RELLES : IMITES,CONTINUITE,DIFFERENTIABILITÉ ET.... COURS DÉTAILLÉ ET EXERCICES RÉSOLUS",3720145,2,15,2024-10-13,2024-10-28
"FONCTIONS DE PLUSIEURS VARIABLES RELLES : IMITES,CONTINUITE,DIFFERENTIABILITÉ ET.... COURS DÉTAILLÉ ET EXERCICES RÉSOLUS",3898205,2,15,2024-10-29,2024-11-13
INTRODUCTION A L'ARCHITECTURE DES ORDINATEURS,5902236,1,15,2024-10-29,2024-11-13
"FONCTIONS DE PLUSIEURS VARIABLES RELLES : IMITES,CONTINUITE,DIFFERENTIABILITÉ ET.... COURS DÉTAILLÉ ET EXERCICES RÉSOLUS",3914046,2,17,2024-10-10,2024-10-27
"FONCTIONS DE PLUSIEURS VARIABLES RELLES : IMITES,CONTINUITE,DIFFERENTIABILITÉ ET.... COURS DÉTAILLÉ ET EXERCICES RÉSOLUS",3890281,2,17,2024-10-10,2024-10-27
"FONCTIONS DE PLUSIEURS VARIABLES RELLES : IMITES,CONTINUITE,DIFFERENTIABILITÉ ET.... COURS DÉTAILLÉ ET EXERCICES RÉSOLUS",3826460,2,15,2024-10-09,2024-10-24
"FONCTIONS DE PLUSIEURS VARIABLES RELLES : IMITES,CONTINUITE,DIFFERENTIABILITÉ ET.... COURS DÉTAILLÉ ET EXERCICES RÉSOLUS",3831059,2,17,2024-10-31,2024-11-17
"FONCTIONS DE PLUSIEURS VARIABLES RELLES : IMITES,CONTINUITE,DIFFERENTIABILITÉ ET.... COURS DÉTAILLÉ ET EXERCICES RÉSOLUS",3913555,2,15,2024-10-08,2024-10-23
"FONCTIONS DE PLUSIEURS VARIABLES RELLES : IMITES,CONTINUITE,DIFFERENTIABILITÉ ET.... COURS DÉTAILLÉ ET EXERCICES RÉSOLUS",3942847,2,15,2024-10-29,2024-11-13
"FONCTIONS DE PLUSIEURS VARIABLES RELLES : IMITES,CONTINUITE,DIFFERENTIABILITÉ ET.... COURS DÉTAILLÉ ET EXERCICES RÉSOLUS",4026460,2,15,2024-10-07,2024-10-22
"FONCTIONS DE PLUSIEURS VARIABLES RELLES : IMITES,CONTINUITE,DIFFERENTIABILITÉ ET.... COURS DÉTAILLÉ ET EXERCICES RÉSOLUS",5929133,2,15,2024-10-06,2024-10-21
"FONCTIONS DE PLUSIEURS VARIABLES RELLES : IMITES,CONTINUITE,DIFFERENTIABILITÉ ET.... COURS DÉTAILLÉ ET EXERCICES RÉSOLUS",3907997,2,15,2024-09-30,2024-10-15
"FONCTIONS DE PLUSIEURS VARIABLES RELLES : IMITES,CONTINUITE,DIFFERENTIABILITÉ ET.... COURS DÉTAILLÉ ET EXERCICES RÉSOLUS",3944893,2,15,2024-10-07,2024-10-22
"FONCTIONS DE PLUSIEURS VARIABLES RELLES : IMITES,CONTINUITE,DIFFERENTIABILITÉ ET.... COURS DÉTAILLÉ ET EXERCICES RÉSOLUS",11904505,2,15,2024-10-30,2024-11-14
"FONCTIONS DE PLUSIEURS VARIABLES RELLES : IMITES,CONTINUITE,DIFFERENTIABILITÉ ET.... COURS DÉTAILLÉ ET EXERCICES RÉSOLUS",3940328,2,22,2024-10-06,2024-10-28
"FONCTIONS DE PLUSIEURS VARIABLES RELLES : IMITES,CONTINUITE,DIFFERENTIABILITÉ ET.... COURS DÉTAILLÉ ET EXERCICES RÉSOLUS",3785749,2,15,2024-10-07,2024-10-22
"FONCTIONS DE PLUSIEURS VARIABLES RELLES : IMITES,CONTINUITE,DIFFERENTIABILITÉ ET.... COURS DÉTAILLÉ ET EXERCICES RÉSOLUS",5286750,3,17,2024-10-24,2024-11-10
"FONCTIONS DE PLUSIEURS VARIABLES RELLES : IMITES,CONTINUITE,DIFFERENTIABILITÉ ET.... COURS DÉTAILLÉ ET EXERCICES RÉSOLUS",3917309,2,15,2024-10-20,2024-11-04
"FONCTIONS DE PLUSIEURS VARIABLES RELLES : IMITES,CONTINUITE,DIFFERENTIABILITÉ ET.... COURS DÉTAILLÉ ET EXERCICES RÉSOLUS",4008333,2,15,2024-10-06,2024-10-21
"FONCTIONS DE PLUSIEURS VARIABLES RELLES : IMITES,CONTINUITE,DIFFERENTIABILITÉ ET.... COURS DÉTAILLÉ ET EXERCICES RÉSOLUS",3675102,2,17,2024-10-10,2024-10-27
"FONCTIONS DE PLUSIEURS VARIABLES RELLES : IMITES,CONTINUITE,DIFFERENTIABILITÉ ET.... COURS DÉTAILLÉ ET EXERCICES RÉSOLUS",3850780,2,15,2024-10-27,2024-11-11
"FONCTIONS DE PLUSIEURS VARIABLES RELLES : IMITES,CONTINUITE,DIFFERENTIABILITÉ ET.... COURS DÉTAILLÉ ET EXERCICES RÉSOLUS",3848013,2,15,2024-10-06,2024-10-21
"FONCTIONS DE PLUSIEURS VARIABLES RELLES : IMITES,CONTINUITE,DIFFERENTIABILITÉ ET.... COURS DÉTAILLÉ ET EXERCICES RÉSOLUS",3787227,2,15,2024-10-30,2024-11-14
"FONCTIONS DE PLUSIEURS VARIABLES RELLES : IMITES,CONTINUITE,DIFFERENTIABILITÉ ET.... COURS DÉTAILLÉ ET EXERCICES RÉSOLUS",3753569,2,15,2024-09-30,2024-10-15
"FONCTIONS DE PLUSIEURS VARIABLES RELLES : IMITES,CONTINUITE,DIFFERENTIABILITÉ ET.... COURS DÉTAILLÉ ET EXERCICES RÉSOLUS",3784162,2,15,2024-10-21,2024-11-05
"FONCTIONS DE PLUSIEURS VARIABLES RELLES : IMITES,CONTINUITE,DIFFERENTIABILITÉ ET.... COURS DÉTAILLÉ ET EXERCICES RÉSOLUS",9489524,2,15,2024-09-29,2024-10-14
"FONCTIONS DE PLUSIEURS VARIABLES RELLES : IMITES,CONTINUITE,DIFFERENTIABILITÉ ET.... COURS DÉTAILLÉ ET EXERCICES RÉSOLUS",8354464,3,7,2023-10-17,2023-10-24
"FONCTIONS DE PLUSIEURS VARIABLES RELLES : IMITES,CONTINUITE,DIFFERENTIABILITÉ ET.... COURS DÉTAILLÉ ET EXERCICES RÉSOLUS",3834965,2,15,2024-10-21,2024-11-05
"FONCTIONS DE PLUSIEURS VARIABLES RELLES : IMITES,CONTINUITE,DIFFERENTIABILITÉ ET.... COURS DÉTAILLÉ ET EXERCICES RÉSOLUS",3789766,2,15,2024-10-29,2024-11-13
ALGEBRE 1 : RAPPELS DE COURS ET EXERCICES AVEC SOLUTIONS,4761262,1,7,2024-10-01,2024-10-08
ALGEBRE 1 : RAPPELS DE COURS ET EXERCICES AVEC SOLUTIONS,4599454,1,15,2024-10-13,2024-10-28
ALGEBRE 1 : RAPPELS DE COURS ET EXERCICES AVEC SOLUTIONS,5528770,1,15,2024-10-15,2024-10-30
ALGEBRE 1 : RAPPELS DE COURS ET EXERCICES AVEC SOLUTIONS,5157411,1,15,2024-10-27,2024-11-11
ALGEBRE 1 : RAPPELS DE COURS ET EXERCICES AVEC SOLUTIONS,5868325,1,15,2024-10-06,2024-10-21
ALGEBRE 1 : RAPPELS DE COURS ET EXERCICES AVEC SOLUTIONS,5291820,1,32,2024-10-02,2024-11-03
ALGEBRE 1 : RAPPELS DE COURS ET EXERCICES AVEC SOLUTIONS,4639232,1,15,2024-10-29,2024-11-13
ALGEBRE 1 : RAPPELS DE COURS ET EXERCICES AVEC SOLUTIONS,6499597,1,17,2024-09-26,2024-10-13
ALGEBRE 1 : RAPPELS DE COURS ET EXERCICES AVEC SOLUTIONS,5754033,1,17,2024-10-17,2024-11-03
ALGEBRE 1 : RAPPELS DE COURS ET EXERCICES AVEC SOLUTIONS,5371721,1,15,2024-10-20,2024-11-04
ALGEBRE 1 : RAPPELS DE COURS ET EXERCICES AVEC SOLUTIONS,5103553,1,17,2024-10-24,2024-11-10
ALGEBRE 1 : RAPPELS DE COURS ET EXERCICES AVEC SOLUTIONS,5987302,1,7,2024-10-01,2024-10-08
ALGEBRE 1 : RAPPELS DE COURS ET EXERCICES AVEC SOLUTIONS,5106186,1,15,2024-10-13,2024-10-28
ALGEBRE 1 : RAPPELS DE COURS ET EXERCICES AVEC SOLUTIONS,5214227,1,15,2024-10-15,2024-10-30
ALGEBRE 1 : RAPPELS DE COURS ET EXERCICES AVEC SOLUTIONS,5026541,1,15,2024-10-13,2024-10-28
ALGEBRE 1 : RAPPELS DE COURS ET EXERCICES AVEC SOLUTIONS,4778689,1,17,2024-10-17,2024-11-03
ALGEBRE 1 : RAPPELS DE COURS ET EXERCICES AVEC SOLUTIONS,5822661,1,15,2024-10-16,2024-10-31
ALGEBRE 1 : RAPPELS DE COURS ET EXERCICES AVEC SOLUTIONS,5830343,1,15,2024-10-30,2024-11-14
ALGEBRE 1 : RAPPELS DE COURS ET EXERCICES AVEC SOLUTIONS,4830910,1,17,2024-10-10,2024-10-27
ALGEBRE 1 : RAPPELS DE COURS ET EXERCICES AVEC SOLUTIONS,4792948,1,15,2024-10-20,2024-11-04
ALGEBRE 1 : RAPPELS DE COURS ET EXERCICES AVEC SOLUTIONS,5918180,1,17,2024-10-24,2024-11-10
ALGEBRE 1 : RAPPELS DE COURS ET EXERCICES AVEC SOLUTIONS,4844275,1,15,2024-10-13,2024-10-28
ALGEBRE 1 : RAPPELS DE COURS ET EXERCICES AVEC SOLUTIONS,4594535,1,15,2024-10-27,2024-11-11
ALGEBRE 1 : RAPPELS DE COURS ET EXERCICES AVEC SOLUTIONS,5935766,1,15,2024-10-20,2024-11-04
ALGEBRE 1 : RAPPELS DE COURS ET EXERCICES AVEC SOLUTIONS,4620053,1,15,2024-10-09,2024-10-24
ALGEBRE 1 : RAPPELS DE COURS ET EXERCICES AVEC SOLUTIONS,5013865,1,32,2024-10-09,2024-11-10
ALGEBRE 1 : RAPPELS DE COURS ET EXERCICES AVEC SOLUTIONS,5817912,1,15,2024-10-15,2024-10-30
ALGEBRE 1 : RAPPELS DE COURS ET EXERCICES AVEC SOLUTIONS,4724183,1,17,2024-10-24,2024-11-10
ALGEBRE 1 : RAPPELS DE COURS ET EXERCICES AVEC SOLUTIONS,6543248,1,15,2024-10-30,2024-11-14
ALGEBRE 1 : RAPPELS DE COURS ET EXERCICES AVEC SOLUTIONS,5730343,1,15,2024-10-07,2024-10-22
ALGEBRE 1 : RAPPELS DE COURS ET EXERCICES AVEC SOLUTIONS,4803991,1,32,2024-10-02,2024-11-03
ALGEBRE 1 : RAPPELS DE COURS ET EXERCICES AVEC SOLUTIONS,4594767,1,32,2024-10-09,2024-11-10
ALGEBRE 1 : RAPPELS DE COURS ET EXERCICES AVEC SOLUTIONS,3984959,2,11,2023-10-17,2023-10-28
ALGEBRE 1 : RAPPELS DE COURS ET EXERCICES AVEC SOLUTIONS,4724446,1,15,2024-09-30,2024-10-15
ALGEBRE 1 : RAPPELS DE COURS ET EXERCICES AVEC SOLUTIONS,5936748,1,15,2024-10-02,2024-10-17
ALGEBRE 1 : RAPPELS DE COURS ET EXERCICES AVEC SOLUTIONS,4775952,1,15,2024-10-07,2024-10-22
ALGEBRE 1 : RAPPELS DE COURS ET EXERCICES AVEC SOLUTIONS,5854541,1,17,2024-10-24,2024-11-10
ALGEBRE 1 : RAPPELS DE COURS ET EXERCICES AVEC SOLUTIONS,4693121,1,15,2024-09-30,2024-10-15
ALGEBRE 1 : RAPPELS DE COURS ET EXERCICES AVEC SOLUTIONS,5904893,1,17,2024-10-31,2024-11-17
ALGEBRE 1 : RAPPELS DE COURS ET EXERCICES AVEC SOLUTIONS,5646637,1,15,2024-10-27,2024-11-11
ALGEBRE 1 : RAPPELS DE COURS ET EXERCICES AVEC SOLUTIONS,4776818,1,15,2024-09-30,2024-10-15
ALGEBRE 1 : RAPPELS DE COURS ET EXERCICES AVEC SOLUTIONS,4593943,1,15,2024-10-16,2024-10-31
ALGEBRE 1 : RAPPELS DE COURS ET EXERCICES AVEC SOLUTIONS,5900148,1,15,2024-10-01,2024-10-16
ALGEBRE 1 : RAPPELS DE COURS ET EXERCICES AVEC SOLUTIONS,5262108,1,15,2024-10-30,2024-11-14
ALGEBRE 1 : RAPPELS DE COURS ET EXERCICES AVEC SOLUTIONS,12225988,1,17,2024-10-10,2024-10-27
ALGEBRE 1 : RAPPELS DE COURS ET EXERCICES AVEC SOLUTIONS,4803960,1,17,2024-10-17,2024-11-03
ALGEBRE 1 : RAPPELS DE COURS ET EXERCICES AVEC SOLUTIONS,4810546,1,15,2024-10-15,2024-10-30
ALGEBRE 1 : RAPPELS DE COURS ET EXERCICES AVEC SOLUTIONS,5355534,1,17,2024-10-17,2024-11-03
ALGEBRE 1 : RAPPELS DE COURS ET EXERCICES AVEC SOLUTIONS,5846417,1,15,2024-10-22,2024-11-06
ALGEBRE 1 : RAPPELS DE COURS ET EXERCICES AVEC SOLUTIONS,6429571,1,15,2024-10-01,2024-10-16
ALGEBRE 1 : RAPPELS DE COURS ET EXERCICES AVEC SOLUTIONS,5758184,1,15,2024-10-01,2024-10-16
ANALYSE 2 : RAPPELS DE COURS ET EXERCICES AVEC SOLUTIONS,1398293,2,17,2024-10-24,2024-11-10
ANALYSE 2 : RAPPELS DE COURS ET EXERCICES AVEC SOLUTIONS,4042198,2,15,2024-10-14,2024-10-29
ANALYSE 2 : RAPPELS DE COURS ET EXERCICES AVEC SOLUTIONS,3785749,2,15,2024-10-07,2024-10-22
ANALYSE 2 : RAPPELS DE COURS ET EXERCICES AVEC SOLUTIONS,4020285,2,15,2024-10-30,2024-11-14
ANALYSE 2 : RAPPELS DE COURS ET EXERCICES AVEC SOLUTIONS,3835154,2,15,2024-10-06,2024-10-21
PROBABILITES : RAPPELS DE COURS ET EXERCICES CORRIGES,3883193,2,15,2024-09-29,2024-10-14
PROBABILITES : RAPPELS DE COURS ET EXERCICES CORRIGES,4026460,2,15,2024-10-07,2024-10-22
PROBABILITES : RAPPELS DE COURS ET EXERCICES CORRIGES,3907997,2,15,2024-09-30,2024-10-15
PROBABILITES : RAPPELS DE COURS ET EXERCICES CORRIGES,5286750,3,17,2024-10-24,2024-11-10
PROBABILITES : RAPPELS DE COURS ET EXERCICES CORRIGES,3890281,2,17,2024-10-10,2024-10-27
PROBABILITES : RAPPELS DE COURS ET EXERCICES CORRIGES,3938888,2,15,2024-09-29,2024-10-14
PROBABILITES : RAPPELS DE COURS ET EXERCICES CORRIGES,3981992,2,22,2024-10-15,2024-11-06
PROBABILITES : RAPPELS DE COURS ET EXERCICES CORRIGES,3785749,2,15,2024-10-13,2024-10-28
"STATISTIQUE : COURS ET EXERCICES, POUR LES ÉTUDIANTS DU TRONC COMMUN BIO-MÉDICAL",3746319,3,7,2024-05-15,2024-05-22
DE L'ALGÈBRE DE BOOLE AUX CIRCUITS NUMÉRIQUES : COURS ET APPLICATIONS,4724183,1,17,2024-10-24,2024-11-10
DE L'ALGÈBRE DE BOOLE AUX CIRCUITS NUMÉRIQUES : COURS ET APPLICATIONS,5291820,1,15,2024-10-08,2024-10-23
DE L'ALGÈBRE DE BOOLE AUX CIRCUITS NUMÉRIQUES : COURS ET APPLICATIONS,5306241,1,15,2024-10-30,2024-11-14
DE L'ALGÈBRE DE BOOLE AUX CIRCUITS NUMÉRIQUES : COURS ET APPLICATIONS,4884579,1,15,2024-10-29,2024-11-13
RÉSEAUX INFORMATIQUES : RECUEIL DE SUJETS D'EXAMENS AVEC SOLUTIONS,11729923,3,15,2024-10-23,2024-11-07
ALGORITHMIQUE MODERNE ANALYSE ET COMPLEXITÉ,5902236,1,15,2024-10-29,2024-11-13
CALCUL DIFFERENTIEL ET INTEGRAL TOME 01,7361389,4,10,2024-02-04,2024-02-14
LECTURE NOTES IN ENGLISH FOR COMPUTING,4724446,1,15,2024-09-30,2024-10-15
COURS D'ALGÈBRE ET EXERCICES CORRIGÉS,3786912,2,15,2024-10-13,2024-10-28
COURS D'ALGÈBRE ET EXERCICES CORRIGÉS,5106186,1,15,2024-10-13,2024-10-28
COURS D'ALGÈBRE ET EXERCICES CORRIGÉS,4844275,1,15,2024-10-13,2024-10-28
COURS D'ALGÈBRE ET EXERCICES CORRIGÉS,5973082,1,15,2024-10-15,2024-10-30
COURS D'ALGÈBRE ET EXERCICES CORRIGÉS,4685823,1,15,2024-10-13,2024-10-28
COURS D'ALGÈBRE ET EXERCICES CORRIGÉS,6429571,1,15,2024-10-01,2024-10-16
COURS D'ALGÈBRE ET EXERCICES CORRIGÉS,5725866,1,15,2024-10-09,2024-10-24
COURS D'ALGÈBRE ET EXERCICES CORRIGÉS,4810284,1,15,2024-10-01,2024-10-16
PROGRAMMATION LINÉAIRE,11729923,3,15,2024-10-23,2024-11-07
MATHÉMATIQUES RAPPELS ET COURS EXERCICES RÉSOLUS,5902236,1,15,2024-10-29,2024-11-13
MATHÉMATIQUES RAPPELS ET COURS EXERCICES RÉSOLUS,4954660,1,15,2024-10-22,2024-11-06
MATHÉMATIQUES RAPPELS ET COURS EXERCICES RÉSOLUS,4776818,1,15,2024-10-07,2024-10-22
MATHÉMATIQUES RAPPELS ET COURS EXERCICES RÉSOLUS,5896724,1,15,2024-09-30,2024-10-15
ELÉMENTS DE LA THÉORIE DES PROBABILITÉS T.1,3857844,2,15,2024-10-21,2024-11-05
ELÉMENTS DE LA THÉORIE DES PROBABILITÉS T.1,3681789,2,15,2024-09-29,2024-10-14
ALGORITHMIQUE ET STRUCTURES DE DONNÉES STATIQUES : COURS ET EXERCICES AVEC SOLUTIONS,5829062,1,15,2024-10-27,2024-11-11
ELÉMENTS DE LA THÉORIE DES PROBABILITÉS T.1,3784162,2,15,2024-10-21,2024-11-05
ELÉMENTS DE LA THÉORIE DES PROBABILITÉS T.1,3834965,2,15,2024-10-21,2024-11-05
ELÉMENTS DE LA THÉORIE DES PROBABILITÉS T.1,3917309,2,15,2024-10-20,2024-11-04
ALGORITHMIQUE ET STRUCTURES DE DONNÉES STATIQUES : COURS ET EXERCICES AVEC SOLUTIONS,6487960,1,15,2024-10-29,2024-11-13
ELÉMENTS DE LA THÉORIE DES PROBABILITÉS T.2,3681789,2,15,2024-09-29,2024-10-14
ALGORITHMIQUE ET STRUCTURES DE DONNÉES STATIQUES : COURS ET EXERCICES AVEC SOLUTIONS,4840143,1,15,2024-10-15,2024-10-30
ALGORITHMIQUE : COURS ET EXERCICES CORRIGÉS,4594535,1,15,2024-10-27,2024-11-11
ALGORITHMIQUE : COURS ET EXERCICES CORRIGÉS,4797074,1,15,2024-10-06,2024-10-21
ANT COLONY OPTIMIZATION,7365427,4,10,2023-10-23,2023-11-02
BIG DATA ANALYTICS WITH APPLICATIONS IN INSIDER THREAT DETECTION,24,0,15,2024-03-19,2024-04-03
"FONCTIONS DE PLUSIEURS VARIABLES RELLES : IMITES,CONTINUITE,DIFFERENTIABILITÉ ET.... COURS DÉTAILLÉ ET EXERCICES RÉSOLUS",3883193,2,15,2024-09-29,2024-10-14
ELEMENTS D'ANALYSE NUMERIQUE,3938888,2,15,2024-09-29,2024-10-14
MATHEMATICAL LOGIC,3834965,2,15,2024-10-27,2024-11-11
MATHEMATICAL LOGIC,3837696,2,17,2024-09-26,2024-10-13
MATHEMATICAL LOGIC,3784162,2,15,2024-10-27,2024-11-11
MATHEMATICAL LOGIC,4,0,30,2024-10-29,2024-11-28
MATHEMATICAL LOGIC,3903332,2,17,2024-10-31,2024-11-17
FUNDAMENTALS OF DATABASE SYSTEMS,3857844,2,15,2024-10-15,2024-10-30
SOFTWARE ENGINEERING,3973360,3,15,2024-10-20,2024-11-04
SOFTWARE ENGINEERING,11690992,3,15,2024-10-01,2024-10-16
"REINFORCEMENT LEARNING, AN INTRODUCTION",en01,0,302,2024-09-22,2025-07-21
PATTERN RECOGNITION AND MACHINE LEARNING,7598127,3,15,2024-09-30,2024-10-15
"HANDS ON MACHINE LEARNING WITH SCIKIT-LEARN, KERAS, AND TENSORFLOW : CONCEPTS, TOOLS, AND TECHNIQUES TO BUILD INTELLIGENT SYSTEMS",12024,0,16,2024-05-30,2024-06-15
"HANDS ON MACHINE LEARNING WITH SCIKIT-LEARN, KERAS, AND TENSORFLOW : CONCEPTS, TOOLS, AND TECHNIQUES TO BUILD INTELLIGENT SYSTEMS",2325493,4,15,2024-09-25,2024-10-10
THE HUNDRED-PAGE MACHINE LEARNING BOOK,7341025,4,22,2024-10-13,2024-11-04
MATHEMATICS FOR MACHINE LEARNING,3937577,2,15,2024-10-30,2024-11-14
DEEP LEARNING WITH PYTHON,7341025,4,15,2024-10-23,2024-11-07
DEEP LEARNING WITH PYTHON,3921150,2,10,2024-06-30,2024-07-10
INTRODUCTION TO THE DESIGN AND ANALYSIS OF ALGORITHMS,3699470,2,17,2024-10-31,2024-11-17
INTRODUCTION TO THE DESIGN AND ANALYSIS OF ALGORITHMS,613551,2,15,2024-10-20,2024-11-04
INTRODUCTION TO THE DESIGN AND ANALYSIS OF ALGORITHMS,3914403,2,15,2024-10-30,2024-11-14
MACHINE LEARNING AVEC SCIKIT-LEARN,7347085,4,15,2024-10-15,2024-10-30
MACHINE LEARNING AVEC SCIKIT-LEARN,8538378,3,15,2024-09-29,2024-10-14
FOUNDATIONS OF MACHINE LEARNING,1126720,3,15,2024-09-30,2024-10-15
COMPUTER NETWORKING : A TOP-DOWN APPROACH,4549500,3,15,2024-10-16,2024-10-31
A FIRST COURSE IN PROBABILITY,3905925,2,15,2024-10-27,2024-11-11
A FIRST COURSE IN PROBABILITY,613551,2,15,2024-10-20,2024-11-04
NEURAL NETWORKS AND DEEP LEARNING,788395,0,15,2024-06-24,2024-07-09
NEURAL NETWORKS AND DEEP LEARNING,12024,0,16,2024-05-30,2024-06-15
EFFECTIVE MODERN C++ : 42 SPECIFIC WAYS TO IMPROVE YOUR USE OF C++11 AND C++14,3940328,2,15,2024-10-20,2024-11-04
ADVANCED CYBERSECURITY TECHNOLOGIES,11782102,3,22,2024-10-02,2024-10-24
ADVANCED CYBERSECURITY TECHNOLOGIES,7341025,4,15,2024-10-23,2024-11-07
ADVANCED DATA STRUCTURES: THEORY AND APPLICATIONS,4854412,1,15,2024-10-29,2024-11-13
AGILE STRATEGY MANAGEMENT : TECHNIQUES FOR CONTINUOUS ALIGNMENT AND IMPROVEMENT,8088002,4,15,2024-10-16,2024-10-31
AGILE STRATEGY MANAGEMENT : TECHNIQUES FOR CONTINUOUS ALIGNMENT AND IMPROVEMENT,ex1,1,15,2024-09-22,2024-10-07
ARTIFICIAL INTELLIGENCE : WITH AN INTRODUCTION TO MACHINE LEARNING,7598127,3,15,2024-09-30,2024-10-15
ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING IN 2D-3D MEDICAL IMAGE PROCESSING,2336840,4,15,2024-10-16,2024-10-31
COMPUTER ORGANIZATION AND ARCHITECTURE : DESIGNING FOR PERFORMANCE - GLOBAL EDITION,32,0,15,2024-06-26,2024-07-11
UNDERSTANDING ANALYSIS,9466948,2,15,2024-09-29,2024-10-14
CAMBRIDGE ENGLISH SKILLS REAL LISTENING AND SPEAKING 1,32,0,15,2024-06-26,2024-07-11
CAMBRIDGE ENGLISH SKILLS REAL LISTENING AND SPEAKING 2,32,0,15,2024-06-26,2024-07-11
"SUPERINTELLIGENCE : PATHS, DANGERS, STRATEGIES",4599689,1,32,2024-10-09,2024-11-10
COMPUTER VISION ALGORITHMS AND APPLICATIONS : ALGORITHMS AND APPLICATIONS,788395,0,15,2024-06-24,2024-07-09
COMPUTER VISION ALGORITHMS AND APPLICATIONS : ALGORITHMS AND APPLICATIONS,12024,0,16,2024-05-30,2024-06-15
"DATABASE SYSTEMS : DESIGN, IMPLEMENTATION, & MANAGEMENT",en01,0,302,2024-09-22,2025-07-21
COMPUTER VISION : A MODERN APPROACH,788395,0,15,2024-06-24,2024-07-09
EXERCICES EN LANGAGE C++ : 178 EXERCICES CORRIGÉS,4594535,1,15,2024-10-27,2024-11-11
EXERCICES EN LANGAGE C++ : 178 EXERCICES CORRIGÉS,4620053,1,15,2024-10-09,2024-10-24
EXERCICES EN LANGAGE C++ : 178 EXERCICES CORRIGÉS,4817091,1,17,2024-09-26,2024-10-13
EXERCICES EN LANGAGE C++ : 178 EXERCICES CORRIGÉS,4775952,1,15,2024-10-07,2024-10-22
EXERCICES EN LANGAGE C++ : 178 EXERCICES CORRIGÉS,4840143,1,15,2024-10-29,2024-11-13
"BASES DE DONNÉES : CONCEPTS, UTILISATION ET DÉVELOPPEMENT",3837696,2,17,2024-09-26,2024-10-13
EXERCICES CORRIGÉS D'ALGÈBRE,5879818,1,15,2024-10-29,2024-11-13
EXERCICES CORRIGÉS D'ALGÈBRE,4668317,1,15,2024-10-29,2024-11-13
EXERCICES CORRIGÉS D'ALGÈBRE,4804417,1,15,2024-10-30,2024-11-14
EXERCICES CORRIGÉS D'ALGÈBRE,5116934,1,17,2024-10-24,2024-11-10
EXERCICES CORRIGÉS D'ALGÈBRE,6010862,1,15,2024-10-14,2024-10-29
EXERCICES CORRIGÉS D'ALGÈBRE,2336840,4,15,2024-10-15,2024-10-30
PROGRAMMER EN C++ : DES PREMIERS PAS À LA MAÎTRISE DE C++ 20,5116934,1,15,2024-10-23,2024-11-07
PROGRAMMER EN C++ : DES PREMIERS PAS À LA MAÎTRISE DE C++ 20,4778689,1,15,2024-10-20,2024-11-04
PATTERN RECOGNITION AND NEURAL NETWORKS,7370112,4,10,2024-06-09,2024-06-19
PROBABILITÉS ET INTRODUCTION À LA STATISTIQUE,1352515,2,15,2024-09-29,2024-10-14
WIRELESS MEDICAL SYSTEMS AND ALGORITHMS : DESIGN AND APPLICATIONS,9549527,2,15,2024-10-07,2024-10-22
LOGIQUE MATHÉMATIQUE : COURS ET EXERCICES CORRIGÉS,3743883,4,10,2023-10-23,2023-11-02
LOGIQUE MATHÉMATIQUE : COURS ET EXERCICES CORRIGÉS,9549527,2,15,2024-10-07,2024-10-22
LOGIQUE MATHÉMATIQUE : COURS ET EXERCICES CORRIGÉS,4,0,30,2024-10-29,2024-11-28
